,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,year
0,"Census Tract 27, Providence County, Rhode Island",47650.0,1671,328,10245.0,101,1725.0,116,2540.0,78,1350.0,132,2580.0,47,1000.0,51,1095.0,35365.0,8250.0,1510.0,1196,146,46,30307,44,7,2700,28.515858767205266,27.902097902097903,20.051546391752577,20.0,29.569397993311036,56.50684931506849,2019
1,"Census Tract 109, Providence County, Rhode Island",,1795,128,,61,,310,,75,,100,,65,,22,,,,,1580,125,28,32757,44,7,10900,,,,,,,2019
2,"Census Tract 111, Providence County, Rhode Island",,1662,252,,183,,206,,23,,66,,9,,9,,42680.0,1395.0,-666666666.0,1414,47,0,29744,44,7,11100,,,,,30.183875530410184,29.680851063829788,2019
3,"Census Tract 122, Providence County, Rhode Island",,3671,678,,552,,761,,164,,243,,45,,10,,,,,3624,0,32,98539,44,7,12200,,,,,,,2019
4,"Census Tract 126.02, Providence County, Rhode Island",,3670,650,,549,,304,,113,,334,,176,,41,,,,,3628,0,42,76623,44,7,12602,,,,,,,2019
5,"Census Tract 147, Providence County, Rhode Island",,3340,574,,387,,381,,150,,241,,113,,20,,,,,2938,373,29,41830,44,7,14700,,,,,,,2019
6,"Census Tract 150, Providence County, Rhode Island",,2564,475,,171,,373,,138,,243,,65,,53,,,,,2422,30,0,62946,44,7,15000,,,,,,,2019
7,"Census Tract 156, Providence County, Rhode Island",,1284,95,,257,,62,,75,,90,,6,,44,,,,,1206,49,0,54375,44,7,15600,,,,,,,2019
8,"Census Tract 164, Providence County, Rhode Island",49045.0,1963,263,6680.0,191,4145.0,207,6795.0,119,1975.0,180,5130.0,67,660.0,0,-666666666.0,,,,1868,77,0,37566,44,7,16400,24.984717269485483,23.84361233480176,26.901840490797547,23.441295546558706,,,2019
9,"Census Tract 166, Providence County, Rhode Island",,948,162,,95,,102,,20,,24,,26,,0,,,,,900,29,0,52907,44,7,16600,,,,,,,2019
10,"Census Tract 178, Providence County, Rhode Island",,967,72,,26,,110,,0,,28,,104,,38,,,,,871,5,39,23875,44,7,17800,,,,,,,2019
11,"Census Tract 179, Providence County, Rhode Island",,1417,149,,105,,119,,38,,18,,55,,17,,,,,1323,20,0,32448,44,7,17900,,,,,,,2019
12,"Census Tract 182, Providence County, Rhode Island",,1570,155,,210,,109,,36,,110,,76,,15,,36440.0,-666666666.0,1060.0,1466,0,49,52649,44,7,18200,,,,,24.85675306957708,-inf,2019
13,"Census Tract 114.03, Providence County, Rhode Island",92290.0,3668,490,12365.0,567,13865.0,357,6350.0,87,1410.0,351,6170.0,133,2345.0,0,-666666666.0,,,,3563,0,98,86346,44,7,11403,25.1608505997819,24.8155156102176,17.47747747747748,17.59297520661157,,,2019
14,"Census Tract 15, Providence County, Rhode Island",,1642,299,,304,,150,,164,,104,,20,,0,,,,,1541,84,17,60938,44,7,1500,,,,,,,2019
15,"Census Tract 113.01, Providence County, Rhode Island",,2419,322,,359,,335,,163,,161,,0,,11,,,,,2364,45,0,84150,44,7,11301,,,,,,,2019
16,"Census Tract 114.01, Providence County, Rhode Island",,4405,659,,693,,657,,343,,393,,18,,16,,,,,4266,104,15,113250,44,7,11401,,,,,,,2019
17,"Census Tract 118, Providence County, Rhode Island",,3195,666,,589,,272,,107,,156,,0,,165,,,,,3128,67,0,47035,44,7,11800,,,,,,,2019
18,"Census Tract 8, Providence County, Rhode Island",,1795,108,,197,,196,,171,,162,,98,,109,,16595.0,12205.0,1450.0,810,221,52,34850,44,7,800,,,,,20.487654320987655,55.2262443438914,2019
19,"Census Tract 34, Providence County, Rhode Island",,2081,202,,409,,502,,351,,125,,102,,0,,,,,1805,139,39,178235,44,7,3400,,,,,,,2019
20,"Census Tract 105.01, Providence County, Rhode Island",48830.0,2110,299,7415.0,271,6045.0,242,3935.0,116,2855.0,145,1875.0,52,2100.0,28,280.0,,,,1927,110,20,57946,44,7,10501,23.14218009478673,23.614035087719298,18.966480446927374,20.17766497461929,,,2019
21,"Census Tract 217, Kent County, Rhode Island",58495.0,2117,348,10805.0,108,2270.0,325,7795.0,119,2040.0,201,3765.0,58,1080.0,0,-666666666.0,,,,2060,36,9,64815,44,3,21700,27.631081719414265,28.67324561403509,22.1509009009009,18.706563706563706,,,2019
22,"Census Tract 219.03, Kent County, Rhode Island",,1720,325,,273,,163,,90,,77,,67,,10,,,,,1689,22,0,85729,44,3,21903,,,,,,,2019
23,"Census Tract 222.02, Kent County, Rhode Island",,1834,268,,482,,154,,106,,114,,41,,26,,,,,1834,0,0,51625,44,3,22202,,,,,,,2019
24,"Census Tract 206.01, Kent County, Rhode Island",,3319,434,,588,,341,,132,,177,,40,,106,,,,,3231,52,36,85184,44,3,20601,,,,,,,2019
25,"Census Tract 206.03, Kent County, Rhode Island",,3147,522,,269,,373,,154,,24,,13,,0,,,,,3089,0,0,63458,44,3,20603,,,,,,,2019
26,"Census Tract 219.02, Kent County, Rhode Island",,1517,302,,141,,158,,57,,76,,45,,10,,,,,1456,31,11,73281,44,3,21902,,,,,,,2019
27,"Census Tract 223, Kent County, Rhode Island",,1839,78,,340,,91,,215,,136,,75,,16,,,,,1782,57,0,50938,44,3,22300,,,,,,,2019
28,"Census Tract 208, Kent County, Rhode Island",,3290,652,,558,,477,,110,,113,,32,,10,,,,,3203,18,53,119688,44,3,20800,,,,,,,2019
29,"Census Tract 202, Kent County, Rhode Island",,2308,311,,169,,227,,85,,64,,81,,80,,,,,2295,0,0,43833,44,3,20200,,,,,,,2019
30,"Census Tract 206.02, Kent County, Rhode Island",,1800,281,,319,,112,,147,,61,,82,,14,,,,,1778,9,0,57560,44,3,20602,,,,,,,2019
31,"Census Tract 213, Kent County, Rhode Island",,2323,482,,392,,362,,100,,72,,33,,33,,,,,2256,67,0,92839,44,3,21300,,,,,,,2019
32,"Census Tract 216, Kent County, Rhode Island",,860,208,,108,,104,,60,,59,,9,,6,,,,,841,8,0,130962,44,3,21600,,,,,,,2019
33,"Census Tract 219.01, Kent County, Rhode Island",,1593,162,,218,,82,,113,,118,,0,,0,,,,,1568,12,6,72910,44,3,21901,,,,,,,2019
34,"Census Tract 220, Kent County, Rhode Island",,1602,264,,173,,246,,76,,94,,26,,0,,,,,1544,30,0,70556,44,3,22000,,,,,,,2019
35,"Census Tract 221, Kent County, Rhode Island",,2729,518,,467,,393,,188,,166,,63,,0,,,,,2655,35,0,74653,44,3,22100,,,,,,,2019
36,"Census Tract 207.01, Kent County, Rhode Island",,899,124,,56,,96,,21,,8,,67,,15,,,,,863,0,16,76333,44,3,20701,,,,,,,2019
37,"Census Tract 103, Providence County, Rhode Island",,1637,190,,250,,297,,125,,106,,67,,20,,,,,1572,19,32,37246,44,7,10300,,,,,,,2019
38,"Census Tract 114.02, Providence County, Rhode Island",,2173,337,,537,,262,,9,,119,,30,,27,,,,,2102,50,0,117955,44,7,11402,,,,,,,2019
39,"Census Tract 121.02, Providence County, Rhode Island",50860.0,2216,337,8395.0,298,5435.0,355,7920.0,69,1165.0,48,1130.0,61,2425.0,47,690.0,,,,2159,39,8,54957,44,7,12102,22.951263537906136,21.77952755905512,21.42688679245283,32.61467889908257,,,2019
40,"Census Tract 129, Providence County, Rhode Island",,2488,595,,248,,61,,15,,144,,57,,0,,,,,2278,15,93,73684,44,7,12900,,,,,,,2019
41,"Census Tract 135, Providence County, Rhode Island",51640.0,2413,275,5180.0,247,4460.0,394,6550.0,229,5400.0,121,2530.0,121,3285.0,61,2000.0,,,,2108,150,36,65107,44,7,13500,21.400745959386654,18.467432950191572,19.181380417335472,24.02892561983471,,,2019
42,"Census Tract 137.02, Providence County, Rhode Island",,1553,440,,158,,159,,114,,119,,49,,0,,,,,1431,86,15,69821,44,7,13702,,,,,,,2019
43,"Census Tract 143, Providence County, Rhode Island",,2345,539,,279,,277,,93,,59,,251,,120,,,,,2174,0,9,72273,44,7,14300,,,,,,,2019
44,"Census Tract 110, Providence County, Rhode Island",,2612,328,,152,,138,,91,,79,,66,,18,,,,,2402,134,11,34944,44,7,11000,,,,,,,2019
45,"Census Tract 117.02, Providence County, Rhode Island",44765.0,2101,330,7600.0,236,4700.0,269,6040.0,269,4705.0,112,1580.0,96,1175.0,85,1380.0,,,,2059,1,41,80179,44,7,11702,21.306520704426465,21.731448763250885,19.972118959107807,13.245192307692308,,,2019
46,"Census Tract 123, Providence County, Rhode Island",,3607,663,,433,,357,,257,,138,,94,,42,,,,,3510,48,0,60066,44,7,12300,,,,,,,2019
47,"Census Tract 125, Providence County, Rhode Island",,2109,240,,118,,416,,90,,102,,17,,33,,,,,2064,19,0,51035,44,7,12500,,,,,,,2019
48,"Census Tract 126.01, Providence County, Rhode Island",29750.0,1599,165,4470.0,204,3775.0,112,2215.0,153,3205.0,43,785.0,86,1385.0,30,110.0,,,,1010,10,28,87969,44,7,12601,18.60537836147592,22.344173441734416,20.452830188679247,16.82170542635659,,,2019
49,"Census Tract 127.01, Providence County, Rhode Island",,2314,436,,352,,180,,159,,183,,9,,0,,,,,2244,0,7,96409,44,7,12701,,,,,,,2019
50,"Census Tract 128.01, Providence County, Rhode Island",,2255,416,,127,,310,,4,,103,,0,,16,,,,,2222,0,24,66591,44,7,12801,,,,,,,2019
51,"Census Tract 130.01, Providence County, Rhode Island",,1855,239,,145,,134,,44,,73,,72,,7,,,,,1800,15,0,92857,44,7,13001,,,,,,,2019
52,"Census Tract 130.02, Providence County, Rhode Island",,4207,921,,498,,360,,115,,156,,31,,81,,,,,4069,17,67,86833,44,7,13002,,,,,,,2019
53,"Census Tract 131.01, Providence County, Rhode Island",80655.0,2517,230,9315.0,303,8945.0,333,9015.0,188,4430.0,88,2035.0,95,1740.0,42,1110.0,,,,2470,34,13,88961,44,7,13101,32.04410011918951,34.25891181988743,25.806142034548945,20.628415300546447,,,2019
54,"Census Tract 140, Providence County, Rhode Island",,3023,398,,368,,235,,76,,228,,83,,17,,,,,2929,45,49,72726,44,7,14000,,,,,,,2019
55,"Census Tract 144, Providence County, Rhode Island",,1692,256,,271,,362,,161,,146,,8,,0,,,,,1640,52,0,80720,44,7,14400,,,,,,,2019
56,"Census Tract 170, Providence County, Rhode Island",,2417,477,,118,,272,,89,,151,,37,,8,,,,,2353,37,0,69063,44,7,17000,,,,,,,2019
57,"Census Tract 406, Newport County, Rhode Island",,2147,407,,595,,173,,57,,285,,13,,29,,36895.0,815.0,895.0,1925,59,43,64598,44,5,40600,,,,,19.166233766233766,13.813559322033898,2019
58,"Census Tract 407, Newport County, Rhode Island",,1789,270,,377,,252,,143,,257,,82,,11,,37130.0,-666666666.0,475.0,1621,0,9,88527,44,5,40700,,,,,22.905613818630474,-inf,2019
59,"Census Tract 409, Newport County, Rhode Island",45490.0,2133,429,11935.0,232,4120.0,301,7995.0,140,2410.0,198,2595.0,150,1740.0,24,170.0,,,,1683,16,68,94652,44,5,40900,21.326769807782465,24.28895612708018,23.594104308390023,12.456896551724139,,,2019
60,"Census Tract 410, Newport County, Rhode Island",,1154,136,,72,,211,,118,,145,,66,,0,,,,,773,31,30,62939,44,5,41000,,,,,,,2019
61,"Census Tract 412, Newport County, Rhode Island",,1149,185,,51,,110,,27,,36,,0,,17,,,,,292,15,95,45294,44,5,41200,,,,,,,2019
62,"Census Tract 414, Newport County, Rhode Island",,1603,293,,212,,205,,65,,139,,31,,8,,,,,1563,8,0,89353,44,5,41400,,,,,,,2019
63,"Census Tract 416.02, Newport County, Rhode Island",57615.0,2059,304,8580.0,277,6040.0,265,5750.0,222,4945.0,163,3190.0,19,215.0,50,845.0,57615.0,-666666666.0,-666666666.0,2059,0,0,76970,44,5,41602,27.98203011170471,25.163511187607572,21.960985626283367,18.708791208791208,27.98203011170471,-inf,2019
64,"Census Tract 408, Newport County, Rhode Island",,923,74,,116,,178,,80,,160,,81,,0,,,,,779,14,18,70614,44,5,40800,,,,,,,2019
65,"Census Tract 401.02, Newport County, Rhode Island",,2634,288,,529,,340,,83,,276,,52,,44,,68695.0,-666666666.0,-666666666.0,2634,0,0,112563,44,5,40102,,,,,26.080106302201973,-inf,2019
66,"Census Tract 403.03, Newport County, Rhode Island",,1810,356,,169,,102,,120,,81,,23,,0,,,,,1720,39,12,67617,44,5,40303,,,,,,,2019
67,"Census Tract 401.01, Newport County, Rhode Island",68845.0,2566,316,9415.0,359,9630.0,397,10275.0,87,1575.0,104,3245.0,37,625.0,19,280.0,,,,2411,79,42,91302,44,5,40101,26.829696024941544,28.214814814814815,24.483471074380166,27.4468085106383,,,2019
68,"Census Tract 402, Newport County, Rhode Island",,715,144,,76,,49,,64,,44,,41,,6,,,,,631,9,0,46659,44,5,40200,,,,,,,2019
69,"Census Tract 403.04, Newport County, Rhode Island",,1533,177,,210,,233,,72,,30,,73,,0,,,,,1430,0,7,72109,44,5,40304,,,,,,,2019
70,"Census Tract 401.03, Newport County, Rhode Island",,3377,438,,559,,582,,503,,171,,0,,49,,,,,3160,78,0,92879,44,5,40103,,,,,,,2019
71,"Census Tract 405, Newport County, Rhode Island",,2151,187,,268,,234,,175,,113,,50,,37,,,,,1779,47,81,38648,44,5,40500,,,,,,,2019
72,"Census Tract 413, Newport County, Rhode Island",,2184,306,,240,,285,,211,,325,,76,,41,,,,,2070,80,0,111110,44,5,41300,,,,,,,2019
73,"Census Tract 416.01, Newport County, Rhode Island",37290.0,1542,251,5590.0,71,1100.0,66,1055.0,44,1255.0,120,2780.0,72,1990.0,0,-666666666.0,,,,1524,0,10,44750,44,5,41601,24.182879377431906,20.77639751552795,21.0,24.84375,,,2019
74,"Census Tract 404, Newport County, Rhode Island",,2836,424,,379,,549,,124,,355,,101,,15,,,,,2654,0,11,85559,44,5,40400,,,,,,,2019
75,"Census Tract 403.02, Newport County, Rhode Island",,1233,185,,216,,94,,28,,129,,11,,21,,,,,1221,0,0,77581,44,5,40302,,,,,,,2019
76,"Census Tract 411, Newport County, Rhode Island",,650,129,,73,,141,,62,,45,,18,,0,,,,,480,72,0,76324,44,5,41100,,,,,,,2019
77,"Census Tract 203, Kent County, Rhode Island",,2707,335,,391,,251,,231,,75,,43,,55,,,,,2613,3,16,38342,44,3,20300,,,,,,,2019
78,"Census Tract 209.01, Kent County, Rhode Island",,1988,208,,396,,275,,164,,87,,66,,10,,,,,1848,64,0,87850,44,3,20901,,,,,,,2019
79,"Census Tract 205, Kent County, Rhode Island",46880.0,1966,276,6505.0,310,6550.0,191,3940.0,147,2235.0,79,1620.0,47,1255.0,32,540.0,,,,1855,64,0,62083,44,3,20500,23.845371312309258,22.27815699658703,18.26923076923077,22.817460317460316,,,2019
80,"Census Tract 206.04, Kent County, Rhode Island",,2661,391,,234,,327,,49,,292,,17,,81,,,,,2570,33,17,60938,44,3,20604,,,,,,,2019
81,"Census Tract 218, Kent County, Rhode Island",,2170,380,,198,,219,,113,,120,,60,,26,,,,,2123,29,0,85208,44,3,21800,,,,,,,2019
82,"Census Tract 207.02, Kent County, Rhode Island",73485.0,2206,284,9125.0,346,12440.0,250,6950.0,92,2935.0,117,3175.0,31,310.0,56,1135.0,,,,2195,0,0,94929,44,3,20702,33.311423390752495,34.23015873015873,28.903508771929825,23.5472972972973,,,2019
83,"Census Tract 207.03, Kent County, Rhode Island",,3144,476,,430,,370,,176,,235,,18,,0,,,,,3077,0,38,99088,44,3,20703,,,,,,,2019
84,"Census Tract 151, Providence County, Rhode Island",,2087,368,,93,,129,,148,,235,,57,,22,,,,,1786,219,22,36027,44,7,15100,,,,,,,2019
85,"Census Tract 154, Providence County, Rhode Island",,1066,149,,46,,137,,33,,13,,30,,6,,,,,954,36,37,46250,44,7,15400,,,,,,,2019
86,"Census Tract 160, Providence County, Rhode Island",45445.0,1764,200,6800.0,185,4200.0,31,400.0,60,1205.0,181,3955.0,31,1270.0,0,-666666666.0,,,,1613,24,85,46908,44,7,16000,25.7624716553288,28.571428571428573,17.63736263736264,24.64622641509434,,,2019
87,"Census Tract 168, Providence County, Rhode Island",,1514,153,,224,,147,,71,,20,,25,,0,,,,,1441,16,0,52171,44,7,16800,,,,,,,2019
88,"Census Tract 169, Providence County, Rhode Island",,929,181,,122,,143,,26,,100,,8,,0,,,,,856,52,8,83833,44,7,16900,,,,,,,2019
89,"Census Tract 174, Providence County, Rhode Island",,1597,199,,151,,89,,33,,14,,0,,22,,,,,1553,7,0,37332,44,7,17400,,,,,,,2019
90,"Census Tract 28, Providence County, Rhode Island",,2610,390,,93,,231,,147,,80,,0,,38,,,,,2498,112,0,41136,44,7,2800,,,,,,,2019
91,"Census Tract 157, Providence County, Rhode Island",,1517,165,,321,,180,,50,,64,,53,,0,,,,,1448,37,15,66300,44,7,15700,,,,,,,2019
92,"Census Tract 107.02, Providence County, Rhode Island",60285.0,2171,349,10225.0,271,8265.0,234,4740.0,181,3220.0,165,3150.0,65,2885.0,0,-666666666.0,,,,2089,61,21,76174,44,7,10702,27.768309534776602,29.822580645161292,19.180722891566266,26.23913043478261,,,2019
93,"Census Tract 115, Providence County, Rhode Island",75925.0,2876,416,11485.0,388,8295.0,354,10805.0,189,4720.0,366,8010.0,136,2835.0,48,1285.0,,,,2779,41,9,64769,44,7,11500,26.39951321279555,24.601990049751244,28.591160220994475,21.60358565737052,,,2019
94,"Census Tract 139, Providence County, Rhode Island",,1462,237,,315,,180,,113,,44,,40,,22,,,,,1422,21,0,59770,44,7,13900,,,,,,,2019
95,"Census Tract 180, Providence County, Rhode Island",,999,50,,8,,91,,31,,71,,35,,49,,,,,911,0,13,24615,44,7,18000,,,,,,,2019
96,"Census Tract 163, Providence County, Rhode Island",,1755,123,,182,,181,,97,,132,,6,,47,,,,,1703,52,0,70750,44,7,16300,,,,,,,2019
97,"Census Tract 13, Providence County, Rhode Island",,1767,194,,160,,575,,83,,173,,42,,0,,,,,1522,65,22,52531,44,7,1300,,,,,,,2019
98,"Census Tract 102, Providence County, Rhode Island",,3577,470,,649,,769,,117,,0,,85,,0,,,,,3196,302,47,54058,44,7,10200,,,,,,,2019
99,"Census Tract 142, Providence County, Rhode Island",23905.0,1094,142,3725.0,148,2585.0,207,3885.0,62,625.0,38,645.0,32,975.0,16,805.0,,,,1063,14,12,93427,44,7,14200,21.851005484460696,21.75862068965517,16.765799256505577,23.142857142857142,,,2019
100,"Census Tract 302, Bristol County, Rhode Island",43120.0,1693,357,8980.0,219,4965.0,158,3795.0,149,2425.0,121,2670.0,68,1610.0,36,1280.0,,,,1593,55,0,114479,44,1,30200,25.4695806261075,24.210069444444443,20.26058631921824,22.645502645502646,,,2019
101,"Census Tract 303, Bristol County, Rhode Island",60665.0,2121,412,11515.0,433,12035.0,277,6695.0,162,4105.0,129,3125.0,97,1900.0,0,-666666666.0,,,,2070,35,0,133086,44,1,30300,28.602074493163602,27.869822485207102,24.60136674259681,22.234513274336283,,,2019
102,"Census Tract 309.01, Bristol County, Rhode Island",,3048,335,,303,,489,,154,,193,,87,,89,,,,,2928,32,88,95670,44,1,30901,,,,,,,2019
103,"Census Tract 304, Bristol County, Rhode Island",,1866,404,,331,,443,,196,,72,,60,,10,,,,,1758,78,0,183523,44,1,30400,,,,,,,2019
104,"Census Tract 307, Bristol County, Rhode Island",,1760,230,,197,,191,,124,,61,,122,,10,,,,,1612,62,0,57780,44,1,30700,,,,,,,2019
105,"Census Tract 305, Bristol County, Rhode Island",,1690,230,,256,,99,,80,,100,,61,,17,,,,,1474,83,29,43029,44,1,30500,,,,,,,2019
106,"Census Tract 306.02, Bristol County, Rhode Island",,1893,378,,199,,108,,76,,109,,25,,19,,,,,1823,52,8,67656,44,1,30602,,,,,,,2019
107,"Census Tract 309.02, Bristol County, Rhode Island",,2890,701,,377,,308,,247,,214,,71,,55,,,,,2748,30,27,67882,44,1,30902,,,,,,,2019
108,"Census Tract 306.01, Bristol County, Rhode Island",41920.0,1794,394,8230.0,255,5850.0,123,3060.0,52,965.0,141,2525.0,90,3100.0,0,-666666666.0,,,,1771,10,13,85766,44,1,30601,23.366778149386846,21.694915254237287,23.0,24.350649350649352,,,2019
109,"Census Tract 308, Bristol County, Rhode Island",55210.0,2568,316,9385.0,271,5080.0,169,6240.0,199,2350.0,169,4285.0,76,785.0,45,1265.0,,,,1756,8,0,72308,44,1,30800,21.49922118380062,24.642248722316864,23.342391304347824,20.693877551020407,,,2019
110,"Census Tract 301, Bristol County, Rhode Island",,1987,353,,343,,300,,152,,173,,68,,22,,,,,1912,62,0,102906,44,1,30100,,,,,,,2019
111,"Census Tract 506, Washington County, Rhode Island",,4311,859,,434,,459,,24,,437,,101,,37,,,,,4262,0,22,95391,44,9,50600,,,,,,,2019
112,"Census Tract 511.02, Washington County, Rhode Island",39760.0,1393,137,5965.0,149,4365.0,96,2265.0,63,770.0,260,7710.0,97,1485.0,0,-666666666.0,,,,1359,10,0,73224,44,9,51102,28.542713567839197,36.11888111888112,19.08805031446541,25.756302521008404,,,2019
113,"Census Tract 515.02, Washington County, Rhode Island",,3270,528,,181,,551,,101,,332,,32,,0,,,,,3171,24,18,115842,44,9,51502,,,,,,,2019
114,"Census Tract 515.03, Washington County, Rhode Island",,1690,121,,120,,253,,113,,192,,207,,0,,,,,1634,38,0,59563,44,9,51503,,,,,,,2019
115,"Census Tract 209.03, Kent County, Rhode Island",,2504,560,,445,,427,,267,,138,,22,,0,,,,,2434,32,27,143581,44,3,20903,,,,,,,2019
116,"Census Tract 211, Kent County, Rhode Island",,2595,355,,692,,171,,66,,14,,100,,24,,,,,2382,35,0,68750,44,3,21100,,,,,,,2019
117,"Census Tract 215.02, Kent County, Rhode Island",,2184,366,,282,,214,,117,,106,,44,,27,,,,,2103,36,0,76046,44,3,21502,,,,,,,2019
118,"Census Tract 224, Kent County, Rhode Island",,1108,170,,186,,146,,75,,59,,29,,6,,,,,1087,15,6,81250,44,3,22400,,,,,,,2019
119,"Census Tract 201.01, Kent County, Rhode Island",101285.0,3932,598,16960.0,463,12200.0,351,6150.0,254,7380.0,207,2985.0,112,2100.0,0,-666666666.0,,,,3872,29,18,76346,44,3,20101,25.75915564598169,27.483506126295946,22.363636363636363,15.940438871473354,,,2019
