,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,year
120,"Census Tract 204, Kent County, Rhode Island",,1472,81,,217,,84,,101,,103,,7,,13,,,,,1405,41,20,62416,44,3,20400,,,,,,,2019
121,"Census Tract 222.01, Kent County, Rhode Island",,3574,427,,282,,935,,316,,210,,33,,36,,,,,3523,34,0,87240,44,3,22201,,,,,,,2019
122,"Census Tract 201.02, Kent County, Rhode Island",,2653,284,,224,,333,,51,,188,,69,,0,,,,,2554,84,15,56694,44,3,20102,,,,,,,2019
123,"Census Tract 214.02, Kent County, Rhode Island",49115.0,2031,358,9730.0,223,3885.0,71,1610.0,196,2810.0,50,1535.0,59,985.0,30,1480.0,,,,1949,49,22,77059,44,3,21402,24.182668636139834,23.433734939759034,16.55430711610487,23.119266055045873,,,2019
124,"Census Tract 212, Kent County, Rhode Island",41600.0,1890,445,11410.0,184,3290.0,96,3060.0,31,800.0,88,2045.0,53,1000.0,35,350.0,,,,1835,29,0,73964,44,3,21200,22.01058201058201,23.370429252782195,30.393700787401574,21.595744680851062,,,2019
125,"Census Tract 146, Providence County, Rhode Island",,2955,449,,318,,477,,321,,194,,87,,68,,,,,2859,25,33,89329,44,7,14600,,,,,,,2019
126,"Census Tract 132.02, Providence County, Rhode Island",,3292,644,,347,,640,,53,,122,,193,,0,,,,,3292,0,0,94978,44,7,13202,,,,,,,2019
127,"Census Tract 137.01, Providence County, Rhode Island",,2367,342,,269,,240,,188,,143,,171,,22,,,,,2174,80,27,62756,44,7,13701,,,,,,,2019
128,"Census Tract 138, Providence County, Rhode Island",,2991,396,,585,,411,,88,,144,,52,,9,,,,,2879,61,17,83398,44,7,13800,,,,,,,2019
129,"Census Tract 171, Providence County, Rhode Island",,1958,249,,119,,217,,96,,99,,129,,11,,,,,1886,30,0,41880,44,7,17100,,,,,,,2019
130,"Census Tract 181, Providence County, Rhode Island",,1196,148,,108,,85,,30,,73,,32,,37,,,,,931,44,141,43375,44,7,18100,,,,,,,2019
131,"Census Tract 184, Providence County, Rhode Island",60675.0,2810,586,14865.0,254,4940.0,281,5470.0,294,7035.0,287,3595.0,243,3400.0,0,-666666666.0,,,,2736,11,33,50924,44,7,18400,21.59252669039146,23.577380952380953,21.747826086956522,13.19811320754717,,,2019
132,"Census Tract 176, Providence County, Rhode Island",,1068,98,,68,,28,,37,,45,,18,,23,,,,,817,103,52,35938,44,7,17600,,,,,,,2019
133,"Census Tract 177, Providence County, Rhode Island",,2108,303,,182,,162,,19,,81,,11,,32,,,,,1950,29,68,67514,44,7,17700,,,,,,,2019
134,"Census Tract 183, Providence County, Rhode Island",,694,63,,48,,56,,13,,0,,17,,22,,,,,645,16,0,24335,44,7,18300,,,,,,,2019
135,"Census Tract 1.02, Providence County, Rhode Island",,2170,421,,202,,201,,76,,46,,172,,85,,,,,2003,150,17,49444,44,7,102,,,,,,,2019
136,"Census Tract 6, Providence County, Rhode Island",,518,5,,84,,41,,83,,0,,0,,0,,,,,482,10,9,36471,44,7,600,,,,,,,2019
137,"Census Tract 7, Providence County, Rhode Island",,734,41,,79,,93,,87,,22,,22,,31,,,,,705,9,0,18802,44,7,700,,,,,,,2019
138,"Census Tract 145.01, Providence County, Rhode Island",,2462,346,,477,,502,,169,,253,,28,,27,,,,,2382,25,17,124074,44,7,14501,,,,,,,2019
139,"Census Tract 155, Providence County, Rhode Island",62125.0,2391,461,12480.0,366,5955.0,98,2050.0,134,5070.0,101,1800.0,76,2350.0,31,1060.0,,,,2203,117,18,64183,44,7,15500,25.982852363028023,22.291414752116083,30.689655172413794,23.44632768361582,,,2019
140,"Census Tract 159, Providence County, Rhode Island",,1977,213,,209,,153,,178,,103,,0,,0,,,,,1923,40,0,57813,44,7,15900,,,,,,,2019
141,"Census Tract 2, Providence County, Rhode Island",,2264,235,,247,,374,,286,,7,,100,,54,,,,,1907,330,0,39640,44,7,200,,,,,,,2019
142,"Census Tract 3, Providence County, Rhode Island",,2839,305,,472,,266,,93,,66,,118,,0,,,,,2493,189,8,37854,44,7,300,,,,,,,2019
143,"Census Tract 12, Providence County, Rhode Island",,1416,163,,64,,132,,55,,135,,190,,0,,,,,1142,152,71,37616,44,7,1200,,,,,,,2019
144,"Census Tract 14, Providence County, Rhode Island",,2722,171,,88,,573,,38,,71,,16,,60,,,,,2183,326,15,35960,44,7,1400,,,,,,,2019
145,"Census Tract 23, Providence County, Rhode Island",,2091,295,,266,,467,,199,,132,,109,,26,,,,,1887,67,0,62841,44,7,2300,,,,,,,2019
146,"Census Tract 26, Providence County, Rhode Island",,992,256,,118,,61,,0,,65,,26,,15,,,,,855,54,0,29367,44,7,2600,,,,,,,2019
147,"Census Tract 36.02, Providence County, Rhode Island",35515.0,1977,115,2470.0,137,2830.0,123,2805.0,140,1665.0,199,2640.0,127,1700.0,88,1035.0,,,,691,146,41,119821,44,7,3602,17.964087000505817,21.03174603174603,16.99619771863118,13.312883435582823,,,2019
148,"Census Tract 108, Providence County, Rhode Island",,1731,206,,106,,110,,31,,73,,112,,0,,,,,1424,166,0,32958,44,7,10800,,,,,,,2019
149,"Census Tract 113.02, Providence County, Rhode Island",,2195,304,,251,,241,,119,,139,,30,,22,,,,,2145,50,0,99009,44,7,11302,,,,,,,2019
150,"Census Tract 117.01, Providence County, Rhode Island",,2212,309,,414,,309,,79,,133,,63,,0,,,,,2079,65,37,65526,44,7,11701,,,,,,,2019
151,"Census Tract 124.01, Providence County, Rhode Island",,3608,583,,543,,311,,339,,210,,15,,142,,69975.0,-666666666.0,-666666666.0,3545,0,0,69101,44,7,12401,,,,,19.73906911142454,-inf,2019
152,"Census Tract 152, Providence County, Rhode Island",,761,82,,92,,48,,0,,48,,17,,0,,,,,716,43,0,13447,44,7,15200,,,,,,,2019
153,"Census Tract 153, Providence County, Rhode Island",,1010,198,,115,,87,,37,,59,,17,,5,,,,,953,28,5,39028,44,7,15300,,,,,,,2019
154,"Census Tract 158, Providence County, Rhode Island",,1684,277,,359,,165,,91,,78,,16,,25,,,,,1636,26,0,67528,44,7,15800,,,,,,,2019
155,"Census Tract 167, Providence County, Rhode Island",,1932,303,,263,,182,,98,,52,,8,,24,,,,,1733,101,10,47708,44,7,16700,,,,,,,2019
156,"Census Tract 175, Providence County, Rhode Island",,1468,258,,120,,137,,49,,92,,22,,0,,,,,1375,10,26,43516,44,7,17500,,,,,,,2019
157,"Census Tract 29, Providence County, Rhode Island",,3080,250,,536,,145,,44,,137,,24,,83,,,,,2528,201,188,36555,44,7,2900,,,,,,,2019
158,"Census Tract 11, Providence County, Rhode Island",,1345,199,,131,,125,,151,,153,,45,,11,,20490.0,1415.0,1880.0,948,62,25,55380,44,7,1100,,,,,21.61392405063291,22.822580645161292,2019
159,"Census Tract 131.02, Providence County, Rhode Island",,2663,456,,419,,454,,119,,176,,28,,0,,,,,2478,12,14,90847,44,7,13102,,,,,,,2019
160,"Census Tract 104, Providence County, Rhode Island",71540.0,2909,487,13775.0,346,4635.0,245,4755.0,81,1410.0,238,4760.0,0,-666666666.0,111,1960.0,,,,2622,93,137,50507,44,7,10400,24.592643520110002,22.100840336134453,18.911042944785276,-2801100.4453781513,,,2019
161,"Census Tract 105.02, Providence County, Rhode Island",66540.0,2516,565,17525.0,480,8580.0,282,6900.0,212,3175.0,98,2510.0,67,2480.0,0,-666666666.0,,,,2486,0,21,69231,44,7,10502,26.446740858505564,24.980861244019138,20.394736842105264,30.242424242424242,,,2019
162,"Census Tract 107.01, Providence County, Rhode Island",,1191,244,,103,,99,,125,,86,,25,,0,,,,,1171,0,20,83958,44,7,10701,,,,,,,2019
163,"Census Tract 128.02, Providence County, Rhode Island",,1144,174,,91,,165,,67,,35,,38,,0,,,,,1130,0,14,81034,44,7,12802,,,,,,,2019
164,"Census Tract 132.01, Providence County, Rhode Island",,2473,537,,347,,288,,172,,177,,0,,73,,,,,2375,74,0,101824,44,7,13201,,,,,,,2019
165,"Census Tract 1.01, Providence County, Rhode Island",48635.0,1961,279,9250.0,178,3100.0,156,2970.0,121,2750.0,85,1840.0,163,3260.0,69,785.0,,,,1580,161,22,39327,44,7,101,24.801121876593573,27.024070021881837,20.649819494584836,20.56451612903226,,,2019
166,"Census Tract 16, Providence County, Rhode Island",,4189,442,,430,,764,,117,,375,,215,,88,,,,,3789,197,72,53048,44,7,1600,,,,,,,2019
167,"Census Tract 22, Providence County, Rhode Island",,1796,102,,287,,216,,12,,65,,49,,43,,,,,1560,88,35,36786,44,7,2200,,,,,,,2019
168,"Census Tract 25, Providence County, Rhode Island",,1627,196,,237,,317,,119,,76,,58,,13,,,,,1305,65,74,62237,44,7,2500,,,,,,,2019
169,"Census Tract 31, Providence County, Rhode Island",,1847,113,,289,,230,,258,,276,,79,,18,,,,,1291,142,0,31642,44,7,3100,,,,,,,2019
170,"Census Tract 33, Providence County, Rhode Island",,2208,282,,281,,403,,241,,278,,55,,25,,,,,1761,354,0,89013,44,7,3300,,,,,,,2019
171,"Census Tract 35, Providence County, Rhode Island",,2647,338,,609,,234,,203,,279,,137,,37,,,,,1719,234,0,60734,44,7,3500,,,,,,,2019
172,"Census Tract 36.01, Providence County, Rhode Island",,1281,47,,121,,176,,196,,125,,164,,59,,,,,501,65,11,49792,44,7,3601,,,,,,,2019
173,"Census Tract 37, Providence County, Rhode Island",,1599,122,,141,,234,,224,,368,,84,,87,,19775.0,9130.0,775.0,737,226,19,50563,44,7,3700,,,,,26.831750339213027,40.39823008849557,2019
174,"Census Tract 101.01, Providence County, Rhode Island",,2382,337,,357,,272,,209,,251,,40,,15,,,,,2301,35,46,79457,44,7,10101,,,,,,,2019
175,"Census Tract 5, Providence County, Rhode Island",,1140,202,,93,,285,,15,,85,,0,,96,,21540.0,4525.0,-666666666.0,963,105,0,25757,44,7,500,,,,,22.36760124610592,43.095238095238095,2019
176,"Census Tract 9, Providence County, Rhode Island",,1247,63,,111,,133,,82,,255,,115,,81,,,,,836,72,0,37500,44,7,900,,,,,,,2019
177,"Census Tract 501.03, Washington County, Rhode Island",,2481,347,,213,,310,,59,,89,,91,,16,,,,,2352,12,0,58844,44,9,50103,,,,,,,2019
178,"Census Tract 504.02, Washington County, Rhode Island",,1354,186,,169,,179,,50,,132,,111,,7,,,,,1325,9,20,104531,44,9,50402,,,,,,,2019
179,"Census Tract 505, Washington County, Rhode Island",,3208,397,,564,,814,,156,,171,,17,,0,,,,,3130,14,36,84919,44,9,50500,,,,,,,2019
180,"Census Tract 415, Washington County, Rhode Island",,482,83,,77,,67,,29,,81,,23,,0,,,,,410,7,0,59423,44,9,41500,,,,,,,2019
181,"Census Tract 501.04, Washington County, Rhode Island",,1854,362,,162,,298,,143,,115,,80,,20,,,,,1819,16,0,118839,44,9,50104,,,,,,,2019
182,"Census Tract 503.01, Washington County, Rhode Island",,2400,266,,319,,363,,134,,145,,25,,16,,,,,2345,33,0,109367,44,9,50301,,,,,,,2019
183,"Census Tract 508.02, Washington County, Rhode Island",,2139,350,,183,,347,,131,,201,,73,,9,,,,,2036,9,32,69886,44,9,50802,,,,,,,2019
184,"Census Tract 515.04, Washington County, Rhode Island",,1614,168,,90,,199,,41,,135,,98,,139,,,,,1544,29,12,50156,44,9,51504,,,,,,,2019
185,"Census Tract 504.01, Washington County, Rhode Island",,2366,410,,289,,266,,205,,178,,58,,19,,,,,2240,113,4,119181,44,9,50401,,,,,,,2019
186,"Census Tract 509.02, Washington County, Rhode Island",,2620,550,,347,,389,,177,,35,,63,,34,,,,,2542,14,0,90497,44,9,50902,,,,,,,2019
187,"Census Tract 513.04, Washington County, Rhode Island",,845,101,,111,,181,,97,,62,,17,,10,,,,,825,20,0,92375,44,9,51304,,,,,,,2019
188,"Census Tract 511.01, Washington County, Rhode Island",66995.0,2332,188,5835.0,190,5610.0,464,10510.0,136,3265.0,106,2430.0,48,845.0,0,-666666666.0,,,,2280,19,26,81953,44,9,51101,28.728559176672384,30.27777777777778,22.958333333333332,21.266233766233768,,,2019
189,"Census Tract 513.02, Washington County, Rhode Island",,1570,237,,174,,266,,55,,95,,62,,7,,,,,1552,18,0,94342,44,9,51302,,,,,,,2019
190,"Census Tract 514, Washington County, Rhode Island",,1421,63,,34,,93,,61,,144,,36,,87,,13630.0,2665.0,-666666666.0,711,31,0,55938,44,9,51400,,,,,19.170182841068918,85.96774193548387,2019
191,"Census Tract 501.02, Washington County, Rhode Island",,1156,148,,207,,205,,47,,74,,70,,8,,,,,1130,7,5,97206,44,9,50102,,,,,,,2019
192,"Census Tract 507, Washington County, Rhode Island",,4267,824,,494,,575,,86,,242,,37,,140,,,,,4226,0,41,90134,44,9,50700,,,,,,,2019
193,"Census Tract 508.01, Washington County, Rhode Island",,2936,503,,376,,172,,310,,134,,59,,4,,,,,2712,49,32,44659,44,9,50801,,,,,,,2019
194,"Census Tract 510, Washington County, Rhode Island",,630,94,,51,,102,,57,,65,,18,,1,,,,,531,55,38,79097,44,9,51000,,,,,,,2019
195,"Census Tract 509.01, Washington County, Rhode Island",,2977,298,,366,,346,,107,,101,,22,,123,,,,,2902,57,7,81000,44,9,50901,,,,,,,2019
196,"Census Tract 503.02, Washington County, Rhode Island",43330.0,1242,177,8690.0,135,3810.0,218,5440.0,138,3415.0,136,3035.0,0,-666666666.0,0,-666666666.0,,,,1164,18,36,87022,44,9,50302,34.887278582930755,40.06410256410256,24.873595505617978,-4901938.463235294,,,2019
197,"Census Tract 210.01, Kent County, Rhode Island",,1334,252,,137,,196,,138,,25,,0,,9,,,,,1296,14,0,74762,44,3,21001,,,,,,,2019
198,"Census Tract 210.02, Kent County, Rhode Island",,2736,336,,390,,301,,203,,200,,73,,43,,,,,2704,32,0,80417,44,3,21002,,,,,,,2019
199,"Census Tract 9800, Kent County, Rhode Island",-666666666.0,0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0,0,0,-666666666,44,3,980000,-inf,-inf,-inf,-inf,-inf,-inf,2019
200,"Census Tract 417.01, Newport County, Rhode Island",,1809,423,,254,,286,,41,,106,,108,,19,,,,,1793,6,10,80625,44,5,41701,,,,,,,2019
201,"Census Tract 417.02, Newport County, Rhode Island",,2149,283,,311,,295,,75,,63,,75,,14,,,,,2118,0,18,83372,44,5,41702,,,,,,,2019
202,"Census Tract 9900, Newport County, Rhode Island",-666666666.0,0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0,0,0,-666666666,44,5,990000,-inf,-inf,-inf,-inf,-inf,-inf,2019
203,"Census Tract 21.01, Providence County, Rhode Island",,1389,236,,228,,98,,20,,75,,66,,22,,,,,1296,62,19,64271,44,7,2101,,,,,,,2019
204,"Census Tract 21.02, Providence County, Rhode Island",,2862,464,,211,,448,,95,,113,,69,,88,,,,,2602,203,0,55887,44,7,2102,,,,,,,2019
205,"Census Tract 119.01, Providence County, Rhode Island",,1765,272,,267,,278,,75,,180,,0,,0,,,,,1681,84,0,65250,44,7,11901,,,,,,,2019
206,"Census Tract 119.02, Providence County, Rhode Island",,2053,436,,275,,404,,48,,72,,37,,93,,,,,2037,0,0,62414,44,7,11902,,,,,,,2019
207,"Census Tract 121.03, Providence County, Rhode Island",,1311,293,,165,,197,,122,,96,,27,,4,,,,,1248,11,44,49013,44,7,12103,,,,,,,2019
208,"Census Tract 101.02, Providence County, Rhode Island",,1697,299,,349,,221,,134,,73,,61,,10,,,,,1636,30,22,72928,44,7,10102,,,,,,,2019
209,"Census Tract 106, Providence County, Rhode Island",,3135,435,,533,,518,,152,,127,,76,,58,,,,,3081,22,0,53206,44,7,10600,,,,,,,2019
210,"Census Tract 112, Providence County, Rhode Island",,3207,615,,212,,217,,83,,18,,33,,24,,,,,3110,87,0,58286,44,7,11200,,,,,,,2019
211,"Census Tract 116, Providence County, Rhode Island",,3347,740,,602,,614,,275,,179,,42,,63,,,,,3181,34,96,109863,44,7,11600,,,,,,,2019
212,"Census Tract 120, Providence County, Rhode Island",,2577,208,,569,,284,,230,,250,,15,,20,,,,,2308,190,26,67289,44,7,12000,,,,,,,2019
213,"Census Tract 127.02, Providence County, Rhode Island",66555.0,2310,467,14170.0,361,7560.0,200,3655.0,127,2115.0,90,1680.0,66,1415.0,39,855.0,,,,2284,17,8,84885,44,7,12702,28.81168831168831,26.243961352657006,17.64525993883792,19.83974358974359,,,2019
214,"Census Tract 128.03, Providence County, Rhode Island",72985.0,2234,327,10500.0,202,6145.0,246,7330.0,125,2800.0,197,6200.0,56,460.0,36,1300.0,,,,2185,22,27,92052,44,7,12803,32.67009847806625,31.465028355387524,27.304582210242586,26.324110671936758,,,2019
215,"Census Tract 134, Providence County, Rhode Island",,2078,268,,406,,431,,235,,278,,97,,0,,,,,1833,146,85,90013,44,7,13400,,,,,,,2019
216,"Census Tract 141, Providence County, Rhode Island",41865.0,1933,280,7280.0,198,4075.0,130,2810.0,107,1830.0,142,4740.0,50,905.0,104,2220.0,,,,1800,26,26,38833,44,7,14100,21.658044490429383,23.755230125523013,19.578059071729957,29.401041666666668,,,2019
217,"Census Tract 145.02, Providence County, Rhode Island",,2165,232,,540,,402,,80,,178,,15,,40,,,,,2133,0,4,63539,44,7,14502,,,,,,,2019
218,"Census Tract 161, Providence County, Rhode Island",62550.0,2341,195,3535.0,266,5015.0,151,4450.0,114,2730.0,129,3465.0,71,4760.0,44,1030.0,,,,2127,98,0,41835,44,7,16100,26.719350704826997,18.546637744034708,27.09433962264151,41.125,,,2019
219,"Census Tract 165, Providence County, Rhode Island",,2118,397,,333,,206,,185,,150,,125,,7,,43030.0,6600.0,670.0,1904,108,10,77639,44,7,16500,,,,,22.599789915966387,61.111111111111114,2019
220,"Census Tract 173, Providence County, Rhode Island",,1414,191,,174,,153,,46,,56,,0,,12,,,,,1292,65,57,64000,44,7,17300,,,,,,,2019
221,"Census Tract 185, Providence County, Rhode Island",34920.0,1285,235,7270.0,173,3990.0,90,3410.0,0,-666666666.0,57,860.0,29,300.0,0,-666666666.0,,,,1226,13,0,54583,44,7,18500,27.17509727626459,27.598039215686274,-7407369.511111111,13.488372093023257,,,2019
222,"Census Tract 4, Providence County, Rhode Island",,1648,157,,353,,132,,71,,71,,41,,3,,,,,1485,138,11,29774,44,7,400,,,,,,,2019
223,"Census Tract 10, Providence County, Rhode Island",,796,80,,120,,80,,75,,71,,45,,28,,,,,656,60,0,26580,44,7,1000,,,,,,,2019
224,"Census Tract 24, Providence County, Rhode Island",,3162,572,,495,,493,,201,,229,,156,,20,,,,,2637,202,32,84150,44,7,2400,,,,,,,2019
225,"Census Tract 32, Providence County, Rhode Island",,1692,285,,291,,246,,148,,177,,71,,51,,33210.0,8010.0,1005.0,1374,145,18,91288,44,7,3200,,,,,24.170305676855897,55.241379310344826,2019
226,"Census Tract 136, Providence County, Rhode Island",,1517,213,,145,,138,,67,,126,,34,,0,,,,,1404,83,0,77436,44,7,13600,,,,,,,2019
227,"Census Tract 124.02, Providence County, Rhode Island",,1243,118,,158,,116,,32,,104,,17,,29,,,,,1243,0,0,62685,44,7,12402,,,,,,,2019
228,"Census Tract 133, Providence County, Rhode Island",,2454,484,,234,,191,,97,,187,,9,,79,,,,,2363,45,8,89844,44,7,13300,,,,,,,2019
229,"Census Tract 148, Providence County, Rhode Island",,3098,548,,449,,495,,231,,297,,18,,16,,,,,2959,41,0,73348,44,7,14800,,,,,,,2019
230,"Census Tract 17, Providence County, Rhode Island",,1659,417,,244,,119,,49,,54,,0,,48,,,,,1624,1,34,48831,44,7,1700,,,,,,,2019
231,"Census Tract 18, Providence County, Rhode Island",,2481,491,,290,,472,,0,,227,,14,,0,,45580.0,3585.0,1600.0,2306,95,27,34947,44,7,1800,,,,,19.76582827406765,37.73684210526316,2019
232,"Census Tract 19, Providence County, Rhode Island",,1559,115,,141,,419,,11,,139,,38,,124,,,,,1383,73,24,30651,44,7,1900,,,,,,,2019
233,"Census Tract 20, Providence County, Rhode Island",60970.0,2510,404,9570.0,152,3415.0,371,8870.0,103,1995.0,101,1485.0,147,1610.0,137,1900.0,,,,2150,43,82,29798,44,7,2000,24.290836653386453,23.35431654676259,22.921940928270043,12.47983870967742,,,2019
234,"Census Tract 121.04, Providence County, Rhode Island",,2122,408,,264,,240,,38,,85,,11,,18,,,,,2112,0,0,54206,44,7,12104,,,,,,,2019
235,"Census Tract 512.01, Washington County, Rhode Island",,2508,369,,245,,417,,144,,160,,135,,3,,,,,2337,29,66,88889,44,9,51201,,,,,,,2019
236,"Census Tract 9901, Washington County, Rhode Island",-666666666.0,0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0,0,0,-666666666,44,9,990100,-inf,-inf,-inf,-inf,-inf,-inf,2019
237,"Census Tract 9902, Washington County, Rhode Island",-666666666.0,0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0,0,0,-666666666,44,9,990200,-inf,-inf,-inf,-inf,-inf,-inf,2019
238,"Census Tract 512.02, Washington County, Rhode Island",,2507,273,,253,,463,,284,,134,,155,,0,,,,,2261,106,40,77593,44,9,51202,,,,,,,2019
239,"Census Tract 513.05, Washington County, Rhode Island",,1679,310,,275,,201,,246,,87,,42,,16,,,,,1630,36,0,81350,44,9,51305,,,,,,,2019
240,"Census Tract 513.06, Washington County, Rhode Island",,2958,440,,548,,193,,100,,377,,127,,34,,,,,2819,0,0,120577,44,9,51306,,,,,,,2019
241,"Census Tract 209.04, Kent County, Rhode Island",,1341,258,,318,,196,,94,,132,,33,,20,,,,,1296,19,26,138875,44,3,20904,,,,,,,2019
242,"Census Tract 214.01, Kent County, Rhode Island",52215.0,2162,446,12230.0,275,6345.0,188,4565.0,70,905.0,75,955.0,149,3420.0,0,-666666666.0,,,,2126,9,0,87083,44,3,21401,24.151248843663275,25.7628294036061,21.2015503875969,19.53125,,,2019
243,"Census Tract 215.01, Kent County, Rhode Island",40885.0,1521,281,6870.0,150,4010.0,159,3375.0,85,1910.0,66,1820.0,40,1100.0,0,-666666666.0,,,,1491,0,11,69508,44,3,21501,26.88034188034188,25.243619489559165,21.65983606557377,27.547169811320753,,,2019
